From Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C)
2012-07-01,,18.27625,28.703333333333333,46.30875,7.521666666666667,1.8995833333333334,22.475416666666664,0.41333333333333333,5.2370833333333335,31.265,62.96791666666667,3.2383333333333333,101.07958333333333,226.47666666666666,748.41,,,
2012-07-02,,25.05333333333333,22.923333333333332,58.782916666666665,11.517083333333334,1.6091666666666669,19.41125,3.5454166666666667,8.255,32.686521739130434,62.98666666666667,5.68,102.86375,224.98875,748.9219047619048,,,
2012-07-03,,29.5775,21.965416666666666,51.29833333333334,15.191666666666668,1.7525000000000002,20.127916666666668,0.47875,4.83875,30.194999999999997,64.58083333333333,3.5170833333333333,91.08625,233.50291666666666,748.2674999999999,,,
2012-07-04,,30.09,21.14166666666667,50.865,14.823749999999999,1.6937499999999999,19.815833333333334,0.4558333333333333,5.225833333333333,28.52916666666667,75.99083333333333,2.9879166666666666,95.77666666666666,229.63208333333333,747.9820833333333,,,
2012-07-05,,31.5195,20.141,51.9935,15.375,1.791,18.4905,0.4175,3.3590000000000004,26.101,86.422,2.043,115.0805,235.24499999999998,748.355,,,
2012-07-06,,32.35,19.88,52.28,16.34,1.83,17.94,0.43,3.59,26.36,85.87,2.13,110.87,240.23,748.38,,,
2012-07-07,,34.24636363636363,25.785000000000004,63.408,44.910000000000004,2.9909090909090907,14.626363636363635,0.509090909090909,4.81,28.914545454545454,73.96727272727273,3.1554545454545457,95.65545454545455,218.30363636363637,747.9509090909091,,,
2012-07-08,,22.524285714285718,14.777142857142858,37.300000000000004,7.127142857142857,0.9671428571428572,25.59,0.27285714285714285,2.9271428571428575,25.687142857142856,86.4342857142857,2.19,92.4542857142857,131.16000000000003,748.2728571428571,,,
2012-07-09,,,,,,,,,,,,,,,,,,
2012-07-10,,8.633333333333333,22.435000000000002,35.3,7.32,0.9083333333333333,29.185000000000002,0.26333333333333336,2.3249999999999997,30.804999999999996,68.45166666666667,2.856666666666667,112.50666666666666,378.3416666666667,750.6533333333333,,,
