From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C),RF (mm)
2017-02-21,,,,,,,,,,,,,,,,,,
2017-02-22,,,,,,,,,,,,,,,,,,
2017-02-23,,,,,,,,,,,,,,,,,,
2017-02-24,,,,,,,,,,,,,,,,,,
2017-02-25,,,,,,,,,,,,,,,,,,
2017-02-26,,,,,,,,,,,,,,,,,,
2017-02-27,,,,,,,,,,,,,,,,,,
2017-02-28,,,,,,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,,,,,
2017-03-02,,,,,,,,,,,,,,,,,,
2017-03-03,,,,,,,,,,,,,,,,,,
2017-03-04,,,,,,,,,,,,,,,,,,
2017-03-05,,,,,,,,,,,,,,,,,,
2017-03-06,,,,,,,,,,,,,,,,,,
2017-03-07,,,,,,,,,,,,,,,,,,
2017-03-08,,,,,,,,,,,,,,,,,,
2017-03-09,,,,,,,,,,,,,,,,,,
2017-03-10,,,,,,,,,,,,,,,,,,
2017-03-11,,,,,,,,,,,,,,,,,,
2017-03-12,,,,,,,,,,,,,,,,,,
2017-03-13,,,,,,,,,,,,,,,,,,
2017-03-14,,,,,,,,,,,,,,,,,,
2017-03-15,,,,,,,,,,,,,,,,,,
2017-03-16,,,,,,,,,,,,,,,,,,
2017-03-17,,,,,,,,,,,,,,,,,,
2017-03-18,,,,,,,,,,,,,,,,,,
2017-03-19,,,,,,,,,,,,,,,,,,
2017-03-20,,,,,,,,,,,,,,,,,,
2017-03-21,,,,,,,,,,,,,,,,,,
2017-03-22,,,,,,,,,,,,,,,,,,
2017-03-23,,,,,,,,,,,,,,,,,,
2017-03-24,,,,,,,,,,,,,,,,,,
2017-03-25,,,,,,,,,,,,,,,,,,
2017-03-26,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,,,,,,,,,,,,,
2017-03-28,,,,,,,,,,,,,,,,,,
2017-03-29,,,,,,,,,,,,,,,,,,
2017-03-30,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,,,,,,,,
2017-04-02,,,,,,,,,,,,,,,,,,
2017-04-03,,,,,,,,,,,,,,,,,,
2017-04-04,,,,,,,,,,,,,,,,,,
2017-04-05,,,,,,,,,,,,,,,,,,
2017-04-06,,,,,,,,,,,,,,,,,,
2017-04-07,,,,,,,,,,,,,,,,,,
2017-04-08,,,,,,,,,,,,,,,,,,
2017-04-09,,,,,,,,,,,,,,,,,,
2017-04-10,,,,,,,,,,,,,,,,,,
2017-04-11,,,,,,,,,,,,,,,,,,
2017-04-12,,,,,,,,,,,,,,,,,,
2017-04-13,,,,,,,,,,,,,,,,,,
2017-04-14,,,,,,,,,,,,,,,,,,
2017-04-15,,,,,,,,,,,,,,,,,,
2017-04-16,,,,,,,,,,,,,,,,,,
2017-04-17,,,,,,,,,,,,,,,,,,
2017-04-18,,,,,,,,,,,,,,,,,,
2017-04-19,,,,,,,,,,,,,,,,,,
2017-04-20,,,,,,,,,,,,,,,,,,
2017-04-21,,,,,,,,,,,,,,,,,,
2017-04-22,,,,,,,,,,,,,,,,,,
2017-04-23,,,,,,,,,,,,,,,,,,
2017-04-24,,,,,,,,,,,,,,,,,,
2017-04-25,,,,,,,,,,,,,,,,,,
2017-04-26,,,,,,,,,,,,,,,,,,
2017-04-27,,,,,,,,,,,,,,,,,,
2017-04-28,,,,,,,,,,,,,,,,,,
2017-04-29,,,,,,,,,,,,,,,,,,
2017-04-30,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,
2017-05-02,,,,,,,,,,,,,,,,,,
2017-05-03,,,,,,,,,,,,,,,,,,
2017-05-04,,,,,,,,,,,,,,,,,,
2017-05-05,,,,,,,,,,,,,,,,,,
2017-05-06,,,,,,,,,,,,,,,,,,
2017-05-07,,,,,,,,,,,,,,,,,,
2017-05-08,,,,,,,,,,,,,,,,,,
2017-05-09,,,,,,,,,,,,,,,,,,
2017-05-10,,,,,,,,,,,,,,,,,,
2017-05-11,,,,,,,,,,,,,,,,,,
2017-05-12,,,,,,,,,,,,,,,,,,
2017-05-13,,,,,,,,,,,,,,,,,,
2017-05-14,,,,,,,,,,,,,,,,,,
2017-05-15,,,,,,,,,,,,,,,,,,
2017-05-16,,,,,,,,,,,,,,,,,,
2017-05-17,,,,,,,,,,,,,,,,,,
2017-05-18,,,,,,,,,,,,,,,,,,
2017-05-19,,,,,,,,,,,,,,,,,,
2017-05-20,,,,,,,,,,,,,,,,,,
2017-05-21,,,,,,,,,,,,,,,,,,
2017-05-22,,,,,,,,,,,,,,,,,,
2017-05-23,,,,,,,,,,,,,,,,,,
2017-05-24,,,,,,,,,,,,,,,,,,
2017-05-25,,,,,,,,,,,,,,,,,,
2017-05-26,,,,,,,,,,,,,,,,,,
2017-05-27,,,,,,,,,,,,,,,,,,
2017-05-28,,,,,,,,,,,,,,,,,,
2017-05-29,,,,,,,,,,,,,,,,,,
2017-05-30,,,,,,,,,,,,,,,,,,
2017-05-31,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,
2017-06-02,,,,,,,,,,,,,,,,,,
2017-06-03,,,,,,,,,,,,,,,,,,
2017-06-04,,,,,,,,,,,,,,,,,,
2017-06-05,,,,,,,,,,,,,,,,,,
2017-06-06,,,,,,,,,,,,,,,,,,
2017-06-07,,,,,,,,,,,,,,,,,,
2017-06-08,,,,,,,,,,,,,,,,,,
2017-06-09,,,,,,,,,,,,,,,,,,
2017-06-10,,,,,,,,,,,,,,,,,,
2017-06-11,,,,,,,,,,,,,,,,,,
2017-06-12,,,,,,,,,,,,,,,,,,
2017-06-13,,,,,,,,,,,,,,,,,,
2017-06-14,,,,,,,,,,,,,,,,,,
2017-06-15,,,,,,,,,,,,,,,,,,
2017-06-16,,,,,,,,,,,,,,,,,,
